book_url,genre
https://www.goodreads.com/book/show/13158800-the-light-between-oceans,adult-fiction
https://www.goodreads.com/book/show/45047384-the-house-in-the-cerulean-sea,adult-fiction
https://www.goodreads.com/book/show/16299.And_Then_There_Were_None,adult-fiction
https://www.goodreads.com/book/show/61215351-the-fellowship-of-the-ring,adult-fiction
https://www.goodreads.com/book/show/40389527-the-woman-in-the-window,adult-fiction
https://www.goodreads.com/book/show/52892857-the-color-purple,adult-fiction
https://www.goodreads.com/book/show/5107.The_Catcher_in_the_Rye,adult-fiction
https://www.goodreads.com/book/show/7244.The_Poisonwood_Bible,adult-fiction
https://www.goodreads.com/book/show/59344312-verity,adult-fiction
https://www.goodreads.com/book/show/11.The_Hitchhiker_s_Guide_to_the_Galaxy,adult-fiction
https://www.goodreads.com/book/show/43263680-ninth-house,adult-fiction
https://www.goodreads.com/book/show/5129.Brave_New_World,adult-fiction
https://www.goodreads.com/book/show/58065033-lessons-in-chemistry,adult-fiction
https://www.goodreads.com/book/show/27213238-the-hating-game,adult-fiction
https://www.goodreads.com/book/show/35031085-frankenstein,adult-fiction
https://www.goodreads.com/book/show/6892870-the-girl-who-kicked-the-hornet-s-nest,adult-fiction
https://www.goodreads.com/book/show/27071490-homegoing,adult-fiction
https://www.goodreads.com/book/show/5907.The_Hobbit,adult-fiction
https://www.goodreads.com/book/show/5297.The_Picture_of_Dorian_Gray,adult-fiction
https://www.goodreads.com/book/show/40440.The_Thirteenth_Tale,adult-fiction
https://www.goodreads.com/book/show/6288.The_Road,adult-fiction
https://www.goodreads.com/book/show/17899948-rebecca,adult-fiction
https://www.goodreads.com/book/show/3431.The_Five_People_You_Meet_in_Heaven,adult-fiction
https://www.goodreads.com/book/show/10572.A_Clash_of_Kings,adult-fiction
https://www.goodreads.com/book/show/53152636-mexican-gothic,adult-fiction
https://www.goodreads.com/book/show/12067.Good_Omens,adult-fiction
https://www.goodreads.com/book/show/42201431-the-unhoneymooners,adult-fiction
https://www.goodreads.com/book/show/14935.Sense_and_Sensibility,adult-fiction
https://www.goodreads.com/book/show/227443.Bridget_Jones_s_Diary,adult-fiction
https://www.goodreads.com/book/show/22822858-a-little-life,adult-fiction
https://www.goodreads.com/book/show/11857408-fifty-shades-darker,adult-fiction
https://www.goodreads.com/book/show/4981.Slaughterhouse_Five,adult-fiction
https://www.goodreads.com/book/show/10441.The_Memory_Keeper_s_Daughter,adult-fiction
https://www.goodreads.com/book/show/44890081-my-dark-vanessa,adult-fiction
https://www.goodreads.com/book/show/58784475-tomorrow-and-tomorrow-and-tomorrow,adult-fiction
https://www.goodreads.com/book/show/15796700-americanah,adult-fiction
https://www.goodreads.com/book/show/30555488-the-underground-railroad,adult-fiction
https://www.goodreads.com/book/show/2187.Middlesex,adult-fiction
https://www.goodreads.com/book/show/6969.Emma,adult-fiction
https://www.goodreads.com/book/show/33590210-an-american-marriage,adult-fiction
https://www.goodreads.com/book/show/56732449-the-love-hypothesis,adult-fiction
https://www.goodreads.com/book/show/4588.Extremely_Loud_Incredibly_Close,adult-fiction
https://www.goodreads.com/book/show/1232.The_Shadow_of_the_Wind,adult-fiction
https://www.goodreads.com/book/show/34066798-a-gentleman-in-moscow,adult-fiction
https://www.goodreads.com/book/show/27774596-after-you,adult-fiction
https://www.goodreads.com/book/show/11588.The_Shining,adult-fiction
https://www.goodreads.com/book/show/28187230-the-woman-in-cabin-10,adult-fiction
https://www.goodreads.com/book/show/2153405.Still_Alice,adult-fiction
https://www.goodreads.com/book/show/41150487-red-white-royal-blue,adult-fiction
https://www.goodreads.com/book/show/12296.The_Scarlet_Letter,adult-fiction
https://www.goodreads.com/book/show/27833670-dark-matter,adult-fiction
https://www.goodreads.com/book/show/38357895-convenience-store-woman,adult-fiction
https://www.goodreads.com/book/show/54981009-the-last-thing-he-told-me,adult-fiction
https://www.goodreads.com/book/show/40874032-vicious,adult-fiction
https://www.goodreads.com/book/show/34051011-pachinko,adult-fiction
https://www.goodreads.com/book/show/44318414-the-dutch-house,adult-fiction
https://www.goodreads.com/book/show/13536860-fifty-shades-freed,adult-fiction
https://www.goodreads.com/book/show/7624.Lord_of_the_Flies,adult-fiction
https://www.goodreads.com/book/show/556602.Sarah_s_Key,adult-fiction
https://www.goodreads.com/book/show/6469165-what-alice-forgot,adult-fiction
https://www.goodreads.com/book/show/22055262-a-darker-shade-of-magic,adult-fiction
https://www.goodreads.com/book/show/6867.Atonement,adult-fiction
https://www.goodreads.com/book/show/15818107-orphan-train,adult-fiction
https://www.goodreads.com/book/show/2156.Persuasion,adult-fiction
https://www.goodreads.com/book/show/24817626-go-set-a-watchman,adult-fiction
https://www.goodreads.com/book/show/15790842-life-after-life,adult-fiction
https://www.goodreads.com/book/show/186074.The_Name_of_the_Wind,adult-fiction
https://www.goodreads.com/book/show/301082.Dead_Until_Dark,adult-fiction
https://www.goodreads.com/book/show/853510.Murder_on_the_Orient_Express,adult-fiction
https://www.goodreads.com/book/show/38819868-my-sister-the-serial-killer,adult-fiction
https://www.goodreads.com/book/show/6149.Beloved,adult-fiction
https://www.goodreads.com/book/show/6411961-the-lost-symbol,adult-fiction
https://www.goodreads.com/book/show/36337550-the-7-deaths-of-evelyn-hardcastle,adult-fiction
https://www.goodreads.com/book/show/53138081-the-four-winds,adult-fiction
https://www.goodreads.com/book/show/32148570-before-we-were-yours,adult-fiction
https://www.goodreads.com/book/show/2459785.In_the_Woods,adult-fiction
https://www.goodreads.com/book/show/36236124-fight-club,adult-fiction
https://www.goodreads.com/book/show/41021501-small-great-things,adult-fiction
https://www.goodreads.com/book/show/43575115-the-starless-sea,adult-fiction
https://www.goodreads.com/book/show/10644930-11-22-63,adult-fiction
https://www.goodreads.com/book/show/7604.Lolita,adult-fiction
https://www.goodreads.com/book/show/14866.Nineteen_Minutes,adult-fiction
https://www.goodreads.com/book/show/10032672-the-language-of-flowers,adult-fiction
https://www.goodreads.com/book/show/37415.Their_Eyes_Were_Watching_God,adult-fiction
https://www.goodreads.com/book/show/18405.Gone_with_the_Wind,adult-fiction
https://www.goodreads.com/book/show/14497.Neverwhere,adult-fiction
https://www.goodreads.com/book/show/2865.Girl_with_a_Pearl_Earring,adult-fiction
https://www.goodreads.com/book/show/17245.Dracula,adult-fiction
https://www.goodreads.com/book/show/23604559-my-grandmother-asked-me-to-tell-you-she-s-sorry,adult-fiction
https://www.goodreads.com/book/show/53288434-the-lost-apothecary,adult-fiction
https://www.goodreads.com/book/show/21787.The_Princess_Bride,adult-fiction
https://www.goodreads.com/book/show/19063.The_Book_Thief,adult-fiction
https://www.goodreads.com/book/show/35545737-a-walk-to-remember,adult-fiction
https://www.goodreads.com/book/show/43925876-the-giver-of-stars,adult-fiction
https://www.goodreads.com/book/show/36478784-the-flatshare,adult-fiction
https://www.goodreads.com/book/show/39280445-nine-perfect-strangers,adult-fiction
https://www.goodreads.com/book/show/62291.A_Storm_of_Swords,adult-fiction
https://www.goodreads.com/book/show/4989.The_Red_Tent,adult-fiction
https://www.goodreads.com/book/show/9736930-before-i-go-to-sleep,adult-fiction
https://www.goodreads.com/book/show/13497.A_Feast_for_Crows,adult-fiction
https://www.goodreads.com/book/show/16115612-and-the-mountains-echoed,adult-fiction
