Title,Author,Rating,Ratings count,Reviews count,Pages,First published,Cover image,book_url,Genre
"The Lion, the Witch and the Wardrobe",C.S. Lewis,4.23,"2,646,064 ratings","30,351 reviews","206 pages, Paperback","First published October 16, 1950",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1353029077i/100915.jpg,https://www.goodreads.com/book/show/100915.The_Lion_the_Witch_and_the_Wardrobe,Fantasy
The Lightning Thief,Rick Riordan,4.30,"2,736,132 ratings","86,711 reviews","377 pages, Paperback","First published July 28, 2005",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1400602609i/28187.jpg,https://www.goodreads.com/book/show/28187.The_Lightning_Thief,Fantasy
A Storm of Swords,George R.R. Martin,4.54,"749,178 ratings","24,320 reviews","1177 pages, Mass Market Paperback","First published August 8, 2000",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1571318786i/62291.jpg,https://www.goodreads.com/book/show/62291.A_Storm_of_Swords,Fantasy
Shadow and Bone,Leigh Bardugo,3.94,"881,997 ratings","79,032 reviews","358 pages, Hardcover","First published June 5, 2012",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1339533695i/10194157.jpg,https://www.goodreads.com/book/show/10194157-shadow-and-bone,Fantasy
A Feast for Crows,George R.R. Martin,4.15,"705,163 ratings","23,603 reviews","1061 pages, Mass Market Paperback","First published October 17, 2005",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1661026821i/13497.jpg,https://www.goodreads.com/book/show/13497.A_Feast_for_Crows,Fantasy
The Golden Compass,Philip Pullman,4.02,"1,475,134 ratings","26,802 reviews","399 pages, Hardcover","First published July 1, 1995",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1505766203i/119322.jpg,https://www.goodreads.com/book/show/119322.The_Golden_Compass,Fantasy
Throne of Glass,Sarah J. Maas,4.19,"1,079,241 ratings","73,073 reviews","432 pages, Paperback","First published August 7, 2012",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1673566495i/76703559.jpg,https://www.goodreads.com/book/show/76703559-throne-of-glass,Fantasy
Eragon,Christopher Paolini,3.94,"1,690,050 ratings","25,934 reviews","503 pages, Paperback","First published June 1, 2002",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1366212852i/113436.jpg,https://www.goodreads.com/book/show/113436.Eragon,Fantasy
A Dance with Dragons,George R.R. Martin,4.33,"628,302 ratings","23,841 reviews","1125 pages, Kindle Edition","First published July 12, 2011",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1581625286i/10664113.jpg,https://www.goodreads.com/book/show/10664113-a-dance-with-dragons,Fantasy
The Cruel Prince,Holly Black,4.07,"958,459 ratings","88,097 reviews","370 pages, Hardcover","First published January 2, 2018",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1574535986i/26032825.jpg,https://www.goodreads.com/book/show/26032825-the-cruel-prince,Fantasy
American Gods,Neil Gaiman,4.11,"890,590 ratings","45,062 reviews","635 pages, Kindle Edition","First published June 19, 2001",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1462924585i/30165203.jpg,https://www.goodreads.com/book/show/30165203-american-gods,Fantasy
The Night Circus,Erin Morgenstern,4.02,"909,042 ratings","96,565 reviews","400 pages, Hardcover","First published September 13, 2011",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1387124618i/9361589.jpg,https://www.goodreads.com/book/show/9361589-the-night-circus,Fantasy
A Court of Mist and Fury,Sarah J. Maas,4.63,"1,178,094 ratings","104,140 reviews","624 pages, Paperback","First published May 3, 2016",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1620325671i/50659468.jpg,https://www.goodreads.com/book/show/50659468-a-court-of-mist-and-fury,Fantasy
