Title,Author,Rating,Ratings count,Reviews count,Pages,First published,Cover image,book_url,Genre
The Queen of Nothing,Holly Black,4.37,"530,722 ratings","53,149 reviews","300 pages, ebook","First published November 19, 2019",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1553624975i/26032912.jpg,https://www.goodreads.com/book/show/26032912-the-queen-of-nothing,Fantasy
Daughter of Smoke & Bone,Laini Taylor,3.99,"360,031 ratings","33,234 reviews","418 pages, Hardcover","First published September 27, 2011",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1461353773i/8490112.jpg,https://www.goodreads.com/book/show/8490112-daughter-of-smoke-bone,Fantasy
The Priory of the Orange Tree,Samantha Shannon,4.23,"156,247 ratings","26,110 reviews","848 pages, Kindle Edition","First published February 26, 2019",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1527807139i/40275288.jpg,https://www.goodreads.com/book/show/40275288-the-priory-of-the-orange-tree,Fantasy
The Voyage of the Dawn Treader,C.S. Lewis,4.09,"452,449 ratings","9,853 reviews","248 pages, Hardcover","First published September 15, 1952",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1661032500i/140225.jpg,https://www.goodreads.com/book/show/140225.The_Voyage_of_the_Dawn_Treader,Fantasy
A Wrinkle in Time,Madeleine L'Engle,3.99,"1,162,248 ratings","38,208 reviews","218 pages, Paperback","First published January 1, 1962",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1507963312i/33574273.jpg,https://www.goodreads.com/book/show/33574273-a-wrinkle-in-time,Fantasy
The Bear and the Nightingale,Katherine Arden,4.10,"183,372 ratings","25,129 reviews","319 pages, Hardcover","First published January 10, 2017",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1611440212i/25489134.jpg,https://www.goodreads.com/book/show/25489134-the-bear-and-the-nightingale,Fantasy
The Tales of Beedle the Bard,J.K. Rowling,4.04,"473,275 ratings","17,860 reviews","105 pages, Hardcover","First published January 1, 2008",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1630876355i/3950967.jpg,https://www.goodreads.com/book/show/3950967-the-tales-of-beedle-the-bard,Fantasy
Caraval,Stephanie Garber,4.00,"377,006 ratings","48,668 reviews","407 pages, Hardcover","First published September 29, 2016",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1465563623i/27883214.jpg,https://www.goodreads.com/book/show/27883214-caraval,Fantasy
The Gunslinger,Stephen King,3.93,"586,082 ratings","23,310 reviews","231 pages, Paperback","First published June 1, 1982",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1554220416i/43615.jpg,https://www.goodreads.com/book/show/43615.The_Gunslinger,Fantasy
A Court of Frost and Starlight,Sarah J. Maas,3.79,"667,652 ratings","48,852 reviews","272 pages, Paperback","First published May 1, 2018",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1585622963i/50659471.jpg,https://www.goodreads.com/book/show/50659471-a-court-of-frost-and-starlight,Fantasy
Brisingr,Christopher Paolini,4.08,"353,735 ratings","10,121 reviews","748 pages, Hardcover","First published September 20, 2008",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1661030683i/2248573.jpg,https://www.goodreads.com/book/show/2248573.Brisingr,Fantasy
The Chronicles of Narnia,C.S. Lewis,4.27,"622,188 ratings","12,046 reviews","767 pages, Paperback","First published January 1, 1956",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1661032875i/11127.jpg,https://www.goodreads.com/book/show/11127.The_Chronicles_of_Narnia,Fantasy
Dune,Frank Herbert,4.26,"1,226,137 ratings","54,269 reviews","658 pages, Hardcover","First published June 1, 1965",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1555447414i/44767458.jpg,https://www.goodreads.com/book/show/44767458-dune,Science Fiction
Ender’s Game,Orson Scott Card,4.31,"1,320,110 ratings","47,971 reviews","324 pages, Mass Market Paperback","First published January 15, 1985",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1408303130i/375802.jpg,https://www.goodreads.com/book/show/375802.Ender_s_Game,Science Fiction
The Hitchhiker's Guide to the Galaxy,Douglas Adams,4.23,"1,756,557 ratings","41,406 reviews","216 pages, Mass Market Paperback","First published October 12, 1979",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1531891848i/11.jpg,https://www.goodreads.com/book/show/11.The_Hitchhiker_s_Guide_to_the_Galaxy,Science Fiction
The Martian,Andy Weir,4.41,"1,052,216 ratings","83,862 reviews","384 pages, Hardcover","First published September 27, 2011",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1413706054i/18007564.jpg,https://www.goodreads.com/book/show/18007564-the-martian,Science Fiction
Ready Player One,Ernest Cline,4.23,"1,101,266 ratings","99,254 reviews","374 pages, Hardcover","First published August 16, 2011",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1500930947i/9969571.jpg,https://www.goodreads.com/book/show/9969571-ready-player-one,Science Fiction
Fahrenheit 451,Ray Bradbury,3.97,"2,249,132 ratings","67,502 reviews","194 pages, Kindle Edition","First published October 19, 1953",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1383718290i/13079982.jpg,https://www.goodreads.com/book/show/13079982-fahrenheit-451,Science Fiction
1984,George Orwell,4.19,"4,263,690 ratings","104,061 reviews","368 pages, Paperback","First published June 8, 1949",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1657781256i/61439040.jpg,https://www.goodreads.com/book/show/61439040-1984,Science Fiction
The Hunger Games,Suzanne Collins,4.33,"8,067,062 ratings","200,121 reviews","374 pages, Hardcover","First published September 14, 2008",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1586722975i/2767052.jpg,https://www.goodreads.com/book/show/2767052-the-hunger-games,Science Fiction
Brave New World,Aldous Huxley,3.99,"1,760,988 ratings","43,397 reviews","268 pages, Paperback","First published January 1, 1932",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1575509280i/5129.jpg,https://www.goodreads.com/book/show/5129.Brave_New_World,Science Fiction
Foundation,Isaac Asimov,4.17,"510,967 ratings","14,981 reviews","244 pages, Hardcover","First published August 30, 1951",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1417900846i/29579.jpg,https://www.goodreads.com/book/show/29579.Foundation,Science Fiction
Do Androids Dream of Electric Sheep?,Philip K. Dick,4.09,"425,737 ratings","17,732 reviews","258 pages, Kindle Edition","First published January 1, 1968",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1507838927i/36402034.jpg,https://www.goodreads.com/book/show/36402034-do-androids-dream-of-electric-sheep,Science Fiction
Catching Fire,Suzanne Collins,4.31,"3,286,880 ratings","112,684 reviews","391 pages, Hardcover","First published September 1, 2009",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1586722941i/6148028.jpg,https://www.goodreads.com/book/show/6148028-catching-fire,Science Fiction
Mockingjay,Suzanne Collins,4.07,"2,988,732 ratings","118,507 reviews","390 pages, Hardcover","First published August 24, 2010",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1586722918i/7260188.jpg,https://www.goodreads.com/book/show/7260188-mockingjay,Science Fiction
The Time Machine,H.G. Wells,3.90,"496,681 ratings","15,034 reviews","118 pages, Paperback","First published January 1, 1895",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327942880i/2493.jpg,https://www.goodreads.com/book/show/2493.The_Time_Machine,Science Fiction
Neuromancer,William Gibson,3.90,"311,445 ratings","12,875 reviews","268 pages, Kindle Edition","First published January 1, 1984",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1554437249i/6088007.jpg,https://www.goodreads.com/book/show/6088007-neuromancer,Science Fiction
"I, Robot",Isaac Asimov,4.21,"331,639 ratings","9,352 reviews","224 pages, Hardcover","First published December 2, 1950",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1609035271i/41804.jpg,https://www.goodreads.com/book/show/41804.I_Robot,Science Fiction
Leviathan Wakes,James S.A. Corey,4.29,"245,563 ratings","16,822 reviews","592 pages, Paperback","First published June 2, 2011",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1411013134i/8855321.jpg,https://www.goodreads.com/book/show/8855321-leviathan-wakes,Science Fiction
The Three-Body Problem,Cixin Liu,4.09,"271,804 ratings","25,834 reviews","399 pages, Hardcover","First published May 1, 2006",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1415428227i/20518872.jpg,https://www.goodreads.com/book/show/20518872-the-three-body-problem,Science Fiction
Project Hail Mary,Andy Weir,4.52,"446,740 ratings","56,564 reviews","476 pages, Hardcover","First published May 4, 2021",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1597695864i/54493401.jpg,https://www.goodreads.com/book/show/54493401-project-hail-mary,Science Fiction
All Systems Red,Martha Wells,4.16,"185,506 ratings","21,565 reviews","144 pages, ebook","First published May 2, 2017",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1631585309i/32758901.jpg,https://www.goodreads.com/book/show/32758901-all-systems-red,Science Fiction
Jurassic Park,Michael Crichton,4.09,"921,344 ratings","17,961 reviews","466 pages, Kindle Edition","First published November 7, 1990",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1529604411i/40604658.jpg,https://www.goodreads.com/book/show/40604658-jurassic-park,Science Fiction
2001: A Space Odyssey,Arthur C. Clarke,4.16,"302,219 ratings","7,952 reviews","297 pages, Paperback","First published April 28, 1968",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1432468943i/70535.jpg,https://www.goodreads.com/book/show/70535.2001,Science Fiction
Divergent,Veronica Roth,4.15,"3,749,535 ratings","117,491 reviews","487 pages, Paperback","First published April 25, 2011",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1618526890i/13335037.jpg,https://www.goodreads.com/book/show/13335037-divergent,Science Fiction
The War of the Worlds,H.G. Wells,3.83,"298,167 ratings","11,184 reviews","192 pages, Paperback","First published January 1, 1897",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1320391644i/8909.jpg,https://www.goodreads.com/book/show/8909.The_War_of_the_Worlds,Science Fiction
The Handmaid’s Tale,Margaret Atwood,4.13,"1,916,694 ratings","90,591 reviews","314 pages, Paperback","First published January 1, 1985",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1578028274i/38447.jpg,https://www.goodreads.com/book/show/38447.The_Handmaid_s_Tale,Science Fiction
Hyperion,Dan Simmons,4.26,"234,918 ratings","11,432 reviews","500 pages, Mass Market Paperback","First published May 26, 1989",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1405546838i/77566.jpg,https://www.goodreads.com/book/show/77566.Hyperion,Science Fiction
The Left Hand of Darkness,Ursula K. Le Guin,4.09,"165,591 ratings","13,866 reviews","304 pages, Paperback","First published January 1, 1969",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1488213612i/18423.jpg,https://www.goodreads.com/book/show/18423.The_Left_Hand_of_Darkness,Science Fiction
Stranger in a Strange Land,Robert A. Heinlein,3.92,"305,029 ratings","9,518 reviews","525 pages, Paperback","First published July 1, 1961",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1156897088i/350.jpg,https://www.goodreads.com/book/show/350.Stranger_in_a_Strange_Land,Science Fiction
Dark Matter,Blake Crouch,4.13,"418,471 ratings","49,497 reviews","352 pages, Hardcover","First published July 26, 2016",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1472119680i/27833670.jpg,https://www.goodreads.com/book/show/27833670-dark-matter,Science Fiction
The Restaurant at the End of the Universe,Douglas Adams,4.21,"274,566 ratings","7,875 reviews","250 pages, Paperback","First published October 12, 1980",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1521213881i/8695.jpg,https://www.goodreads.com/book/show/8695.The_Restaurant_at_the_End_of_the_Universe,Science Fiction
Cinder,Marissa Meyer,4.13,"876,551 ratings","66,274 reviews","400 pages, Hardcover","First published January 3, 2012",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1507557775i/36381037.jpg,https://www.goodreads.com/book/show/36381037-cinder,Science Fiction
The Martian Chronicles,Ray Bradbury,4.15,"250,922 ratings","10,396 reviews","182 pages, Mass Market Paperback","First published January 1, 1950",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1661016554i/76778.jpg,https://www.goodreads.com/book/show/76778.The_Martian_Chronicles,Science Fiction
Red Rising,Pierce Brown,4.26,"346,250 ratings","34,058 reviews","382 pages, Hardcover","First published January 28, 2014",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1461354651i/15839976.jpg,https://www.goodreads.com/book/show/15839976-red-rising,Science Fiction
Slaughterhouse-Five,Kurt Vonnegut Jr.,4.09,"1,314,466 ratings","36,485 reviews","275 pages, Paperback","First published March 31, 1969",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1440319389i/4981.jpg,https://www.goodreads.com/book/show/4981.Slaughterhouse_Five,Science Fiction
Dune Messiah,Frank Herbert,3.89,"243,837 ratings","11,942 reviews","337 pages, Mass Market Paperback","First published July 1, 1969",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1577043824i/44492285.jpg,https://www.goodreads.com/book/show/44492285-dune-messiah,Science Fiction
Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,3.85,"1,489,409 ratings","53,844 reviews","260 pages, Paperback","First published January 1, 1818",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1631088473i/35031085.jpg,https://www.goodreads.com/book/show/35031085-frankenstein,Science Fiction
Snow Crash,Neal Stephenson,4.02,"270,710 ratings","11,582 reviews","559 pages, Kindle Edition","First published June 1, 1992",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1589842551i/40651883.jpg,https://www.goodreads.com/book/show/40651883-snow-crash,Science Fiction
Speaker for the Dead,Orson Scott Card,4.09,"247,259 ratings","8,707 reviews","382 pages, Paperback","First published March 1, 1986",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1295660894i/7967.jpg,https://www.goodreads.com/book/show/7967.Speaker_for_the_Dead,Science Fiction
Speaker for the Dead,Orson Scott Card,4.09,"247,259 ratings","8,707 reviews","382 pages, Paperback","First published March 1, 1986",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1295660894i/7967.jpg,https://www.goodreads.com/book/show/7967.Speaker_for_the_Dead,Science Fiction
The Giver,Lois Lowry,4.12,"2,315,636 ratings","75,886 reviews","208 pages, Paperback","First published April 26, 1993",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1342493368i/3636.jpg,https://www.goodreads.com/book/show/3636.The_Giver,Science Fiction
Old Man's War,John Scalzi,4.23,"187,134 ratings","11,345 reviews","318 pages, Kindle Edition","First published December 27, 2005",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1509467059i/36510196.jpg,https://www.goodreads.com/book/show/36510196-old-man-s-war,Science Fiction
Foundation and Empire,Isaac Asimov,4.22,"193,944 ratings","4,755 reviews","256 pages, Hardcover","First published January 1, 1952",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1391454612i/29581.jpg,https://www.goodreads.com/book/show/29581.Foundation_and_Empire,Science Fiction
"The Long Way to a Small, Angry Planet",Becky Chambers,4.18,"129,919 ratings","19,485 reviews","518 pages, Paperback","First published July 29, 2014",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1405532474i/22733729.jpg,https://www.goodreads.com/book/show/22733729-the-long-way-to-a-small-angry-planet,Science Fiction
A Wrinkle in Time,Madeleine L'Engle,3.99,"1,162,248 ratings","38,208 reviews","218 pages, Paperback","First published January 1, 1962",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1507963312i/33574273.jpg,https://www.goodreads.com/book/show/33574273-a-wrinkle-in-time,Science Fiction
Second Foundation,Isaac Asimov,4.27,"175,780 ratings","3,945 reviews","256 pages, Hardcover","First published January 1, 1953",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1661015922i/29580.jpg,https://www.goodreads.com/book/show/29580.Second_Foundation,Science Fiction
"Life, the Universe and Everything",Douglas Adams,4.18,"225,244 ratings","4,673 reviews","224 pages, Paperback","First published December 29, 1982",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1333577589i/8694.jpg,https://www.goodreads.com/book/show/8694.Life_the_Universe_and_Everything,Science Fiction
Artemis,Andy Weir,3.69,"249,003 ratings","25,858 reviews","305 pages, Hardcover","First published November 14, 2017",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1494273579i/34928122.jpg,https://www.goodreads.com/book/show/34928122-artemis,Science Fiction
Annihilation,Jeff VanderMeer,3.75,"210,506 ratings","23,185 reviews","195 pages, Paperback","First published February 4, 2014",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1403941587i/17934530.jpg,https://www.goodreads.com/book/show/17934530-annihilation,Science Fiction
Starship Troopers,Robert A. Heinlein,4.01,"220,089 ratings","6,982 reviews","264 pages, Mass Market Paperback","First published December 1, 1959",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1614054412i/17214.jpg,https://www.goodreads.com/book/show/17214.Starship_Troopers,Science Fiction
The Forever War,Joe Haldeman,4.14,"160,632 ratings","7,039 reviews","278 pages, Paperback","First published December 1, 1974",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1386852511i/21611.jpg,https://www.goodreads.com/book/show/21611.The_Forever_War,Science Fiction
The Maze Runner,James Dashner,4.04,"1,423,719 ratings","62,976 reviews","384 pages, Hardcover","First published October 6, 2009",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1375596592i/6186357.jpg,https://www.goodreads.com/book/show/6186357-the-maze-runner,Science Fiction
Flowers for Algernon,Daniel Keyes,4.19,"624,149 ratings","29,181 reviews","216 pages, Paperback","First published April 1, 1966",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1510416245i/36576608.jpg,https://www.goodreads.com/book/show/36576608-flowers-for-algernon,Science Fiction
Childhood's End,Arthur C. Clarke,4.12,"152,750 ratings","6,836 reviews","224 pages, Mass Market Paperback","First published January 1, 1953",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1320552628i/414999.jpg,https://www.goodreads.com/book/show/414999.Childhood_s_End,Science Fiction
Ancillary Justice,Ann Leckie,3.98,"100,080 ratings","10,163 reviews","416 pages, Paperback","First published October 1, 2013",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1597476110i/17333324.jpg,https://www.goodreads.com/book/show/17333324-ancillary-justice,Science Fiction
The Man in the High Castle,Philip K. Dick,3.60,"202,911 ratings","14,050 reviews","259 pages, Paperback","First published October 1, 1962",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1448756803i/216363.jpg,https://www.goodreads.com/book/show/216363.The_Man_in_the_High_Castle,Science Fiction
Rendezvous with Rama,Arthur C. Clarke,4.12,"158,623 ratings","5,343 reviews","243 pages, Paperback","First published June 1, 1973",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1405456427i/112537.jpg,https://www.goodreads.com/book/show/112537.Rendezvous_with_Rama,Science Fiction
Children of Dune,Frank Herbert,3.96,"166,197 ratings","6,255 reviews","609 pages, Paperback","First published April 1, 1976",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1564783201i/44492286.jpg,https://www.goodreads.com/book/show/44492286-children-of-dune,Science Fiction
Station Eleven,Emily St. John Mandel,4.07,"475,666 ratings","53,917 reviews","333 pages, Hardcover","First published September 9, 2014",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1680459872i/20170404.jpg,https://www.goodreads.com/book/show/20170404-station-eleven,Science Fiction
Never Let Me Go,Kazuo Ishiguro,3.84,"639,761 ratings","47,024 reviews","288 pages, Paperback","First published April 5, 2005",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1353048590i/6334.jpg,https://www.goodreads.com/book/show/6334.Never_Let_Me_Go,Science Fiction
The Host,Stephenie Meyer,3.85,"981,965 ratings","43,247 reviews","624 pages, Hardcover","First published May 6, 2008",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1318009171i/1656001.jpg,https://www.goodreads.com/book/show/1656001.The_Host,Science Fiction
The Dispossessed: An Ambiguous Utopia,Ursula K. Le Guin,4.24,"115,377 ratings","8,686 reviews","387 pages, Paperback","First published May 1, 1974",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1353467455i/13651.jpg,https://www.goodreads.com/book/show/13651.The_Dispossessed,Science Fiction
Insurgent,Veronica Roth,3.98,"1,430,489 ratings","62,241 reviews","525 pages, Hardcover","First published May 1, 2012",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1618525340i/11735983.jpg,https://www.goodreads.com/book/show/11735983-insurgent,Science Fiction
"So Long, and Thanks for All the Fish",Douglas Adams,4.09,"166,231 ratings","3,713 reviews","225 pages, Kindle Edition","First published October 12, 1984",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327873354i/6091075.jpg,https://www.goodreads.com/book/show/6091075-so-long-and-thanks-for-all-the-fish,Science Fiction
The Moon Is a Harsh Mistress,Robert A. Heinlein,4.16,"126,402 ratings","4,663 reviews","288 pages, Paperback","First published June 2, 1966",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348768309i/16690.jpg,https://www.goodreads.com/book/show/16690.The_Moon_Is_a_Harsh_Mistress,Science Fiction
Caliban's War,James S.A. Corey,4.37,"141,758 ratings","7,919 reviews","624 pages, Paperback","First published June 7, 2012",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1407572377i/12591698.jpg,https://www.goodreads.com/book/show/12591698-caliban-s-war,Science Fiction
Scarlet,Marissa Meyer,4.25,"398,111 ratings","37,155 reviews","454 pages, Hardcover","First published February 5, 2013",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1470056982i/13206760.jpg,https://www.goodreads.com/book/show/13206760-scarlet,Science Fiction
This is How You Lose the Time War,Amal El-Mohtar,3.95,"141,194 ratings","28,681 reviews","209 pages, Kindle Edition","First published July 16, 2019",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1653185078i/43352954.jpg,https://www.goodreads.com/book/show/43352954-this-is-how-you-lose-the-time-war,Science Fiction
Redshirts,John Scalzi,3.86,"102,045 ratings","11,280 reviews","320 pages, Hardcover","First published June 5, 2012",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348617890i/13055592.jpg,https://www.goodreads.com/book/show/13055592-redshirts,Science Fiction
Artificial Condition,Martha Wells,4.28,"109,623 ratings","10,180 reviews","158 pages, Hardcover","First published May 8, 2018",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1505590203i/36223860.jpg,https://www.goodreads.com/book/show/36223860-artificial-condition,Science Fiction
Illuminae,Amie Kaufman,4.25,"147,135 ratings","29,350 reviews","608 pages, Hardcover","First published October 20, 2015",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1443433956i/23395680.jpg,https://www.goodreads.com/book/show/23395680-illuminae,Science Fiction
Xenocide,Orson Scott Card,3.81,"153,659 ratings","4,282 reviews","592 pages, Mass Market Paperback","First published August 1, 1991",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1386924577i/8648.jpg,https://www.goodreads.com/book/show/8648.Xenocide,Science Fiction
Recursion,Blake Crouch,4.16,"204,647 ratings","25,439 reviews","336 pages, Hardcover","First published June 11, 2019",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1543687940i/42046112.jpg,https://www.goodreads.com/book/show/42046112-recursion,Science Fiction
Ringworld,Larry Niven,3.95,"118,113 ratings","4,254 reviews","288 pages, Paperback","First published October 1, 1970",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1408793358i/61179.jpg,https://www.goodreads.com/book/show/61179.Ringworld,Science Fiction
Children of Time,Adrian Tchaikovsky,4.30,"103,575 ratings","10,450 reviews","608 pages, Hardcover","First published January 1, 2015",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1431014197i/25499718.jpg,https://www.goodreads.com/book/show/25499718-children-of-time,Science Fiction
Oryx and Crake,Margaret Atwood,4.01,"257,103 ratings","15,944 reviews","389 pages, Paperback","First published April 22, 2003",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1668379066i/46756.jpg,https://www.goodreads.com/book/show/46756.Oryx_and_Crake,Science Fiction
A Canticle for Leibowitz,Walter M. Miller Jr.,3.98,"105,206 ratings","5,824 reviews","334 pages, Paperback","First published October 1, 1959",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1450516880i/164154.jpg,https://www.goodreads.com/book/show/164154.A_Canticle_for_Leibowitz,Science Fiction
The Invisible Man,H.G. Wells,3.64,"183,506 ratings","8,774 reviews","192 pages, Mass Market Paperback","First published February 2, 1897",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1630661776i/17184.jpg,https://www.goodreads.com/book/show/17184.The_Invisible_Man,Science Fiction
Altered Carbon,Richard K. Morgan,4.04,"102,428 ratings","6,812 reviews","544 pages, Kindle Edition","First published February 28, 2002",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1531415180i/40792913.jpg,https://www.goodreads.com/book/show/40792913-altered-carbon,Science Fiction
Wool Omnibus,Hugh Howey,4.22,"184,492 ratings","15,236 reviews","509 pages, Kindle Edition","First published January 27, 2012",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1349614200i/13453029.jpg,https://www.goodreads.com/book/show/13453029-wool-omnibus,Science Fiction
Ender's Shadow,Orson Scott Card,4.31,"168,168 ratings","5,685 reviews","469 pages, Paperback","First published October 1, 1999",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1424904668i/9532.jpg,https://www.goodreads.com/book/show/9532.Ender_s_Shadow,Science Fiction
The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams,4.38,"315,246 ratings","6,067 reviews","815 pages, Paperback","First published January 17, 1996",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1404613595i/13.jpg,https://www.goodreads.com/book/show/13.The_Ultimate_Hitchhiker_s_Guide_to_the_Galaxy,Science Fiction
The Caves of Steel,Isaac Asimov,4.19,"95,082 ratings","3,636 reviews","206 pages, Mass Market Paperback","First published October 1, 1953",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1335782224i/41811.jpg,https://www.goodreads.com/book/show/41811.The_Caves_of_Steel,Science Fiction
