Title,Author,Rating,Ratings count,Reviews count,Pages,First published,Cover image,book_url,Genre
Eclipse,Stephenie Meyer,3.72,1719216,43057,629,2007,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1361038355i/428263.jpg,https://www.goodreads.com/book/show/428263.Eclipse,Fantasy
The House in the Cerulean Sea,T.J. Klune,4.43,488742,81323,394,2020,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1569514209i/45047384.jpg,https://www.goodreads.com/book/show/45047384-the-house-in-the-cerulean-sea,Fantasy
Miss Peregrine's Home for Peculiar Children,Ransom Riggs,3.92,1207922,65663,352,2011,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1623449170i/9460487.jpg,https://www.goodreads.com/book/show/9460487-miss-peregrine-s-home-for-peculiar-children,Fantasy
The Amber Spyglass,Philip Pullman,4.1,348589,12936,465,2000,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1329189152i/18122.jpg,https://www.goodreads.com/book/show/18122.The_Amber_Spyglass,Fantasy
The Poppy War,R.F. Kuang,4.17,191883,31771,545,2018,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1515691735i/35068705.jpg,https://www.goodreads.com/book/show/35068705-the-poppy-war,Fantasy
The Thief,Megan Whalen Turner,3.86,82926,9805,280,1996,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1427740839i/448873.jpg,https://www.goodreads.com/book/show/448873.The_Thief,Fantasy
Breaking Dawn,Stephenie Meyer,3.73,1620096,51860,756,2008,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1361039438i/1162543.jpg,https://www.goodreads.com/book/show/1162543.Breaking_Dawn,Fantasy
An Ember in the Ashes,Sabaa Tahir,4.26,273478,32342,446,2015,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1519425615i/27774758.jpg,https://www.goodreads.com/book/show/27774758-an-ember-in-the-ashes,Fantasy
The Graveyard Book,Neil Gaiman,4.15,516079,37946,312,2008,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1531295292i/2213661.jpg,https://www.goodreads.com/book/show/2213661.The_Graveyard_Book,Fantasy
City of Glass,Cassandra Clare,4.28,930956,33233,541,2009,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1369452339i/3777732.jpg,https://www.goodreads.com/book/show/3777732-city-of-glass,Fantasy
Queen of Shadows,Sarah J. Maas,4.57,518224,37399,645,2015,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1673566810i/76707900.jpg,https://www.goodreads.com/book/show/76707900-queen-of-shadows,Fantasy
The Blade Itself,Joe Abercrombie,4.2,223639,13717,515,2006,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1284167912l/944073.jpg,https://www.goodreads.com/book/show/944073.The_Blade_Itself,Fantasy
Prince Caspian,C.S. Lewis,3.98,417376,10684,240,1951,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1308814880i/121749.jpg,https://www.goodreads.com/book/show/121749.Prince_Caspian,Fantasy
Clockwork Angel,Cassandra Clare,4.31,802824,40337,479,2010,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1454962884i/7171637.jpg,https://www.goodreads.com/book/show/7171637-clockwork-angel,Fantasy
The Great Hunt,Robert Jordan,4.26,297684,9303,705,1990,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1659905799i/233649.jpg,https://www.goodreads.com/book/show/233649.The_Great_Hunt,Fantasy
The Queen of Nothing,Holly Black,4.37,530722,53149,300,2019,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1553624975i/26032912.jpg,https://www.goodreads.com/book/show/26032912-the-queen-of-nothing,Fantasy
Daughter of Smoke & Bone,Laini Taylor,3.99,360031,33234,418,2011,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1461353773i/8490112.jpg,https://www.goodreads.com/book/show/8490112-daughter-of-smoke-bone,Fantasy
The Priory of the Orange Tree,Samantha Shannon,4.23,156247,26110,848,2019,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1527807139i/40275288.jpg,https://www.goodreads.com/book/show/40275288-the-priory-of-the-orange-tree,Fantasy
The Voyage of the Dawn Treader,C.S. Lewis,4.09,452449,9853,248,1952,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1661032500i/140225.jpg,https://www.goodreads.com/book/show/140225.The_Voyage_of_the_Dawn_Treader,Fantasy
A Wrinkle in Time,Madeleine L'Engle,3.99,1162248,38208,218,1962,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1507963312i/33574273.jpg,https://www.goodreads.com/book/show/33574273-a-wrinkle-in-time,Fantasy
The Bear and the Nightingale,Katherine Arden,4.1,183372,25129,319,2017,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1611440212i/25489134.jpg,https://www.goodreads.com/book/show/25489134-the-bear-and-the-nightingale,Fantasy
The Tales of Beedle the Bard,J.K. Rowling,4.04,473275,17860,105,2008,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1630876355i/3950967.jpg,https://www.goodreads.com/book/show/3950967-the-tales-of-beedle-the-bard,Fantasy
Caraval,Stephanie Garber,4.0,377006,48668,407,2016,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1465563623i/27883214.jpg,https://www.goodreads.com/book/show/27883214-caraval,Fantasy
The Gunslinger,Stephen King,3.93,586082,23310,231,1982,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1554220416i/43615.jpg,https://www.goodreads.com/book/show/43615.The_Gunslinger,Fantasy
A Court of Frost and Starlight,Sarah J. Maas,3.79,667652,48852,272,2018,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1585622963i/50659471.jpg,https://www.goodreads.com/book/show/50659471-a-court-of-frost-and-starlight,Fantasy
Brisingr,Christopher Paolini,4.08,353735,10121,748,2008,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1661030683i/2248573.jpg,https://www.goodreads.com/book/show/2248573.Brisingr,Fantasy
The Chronicles of Narnia,C.S. Lewis,4.27,622188,12046,767,1956,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1661032875i/11127.jpg,https://www.goodreads.com/book/show/11127.The_Chronicles_of_Narnia,Fantasy
Dune,Frank Herbert,4.26,1226137,54269,658,1965,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1555447414i/44767458.jpg,https://www.goodreads.com/book/show/44767458-dune,Science Fiction
Ender’s Game,Orson Scott Card,4.31,1320110,47971,324,1985,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1408303130i/375802.jpg,https://www.goodreads.com/book/show/375802.Ender_s_Game,Science Fiction
The Hitchhiker's Guide to the Galaxy,Douglas Adams,4.23,1756557,41406,216,1979,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1531891848i/11.jpg,https://www.goodreads.com/book/show/11.The_Hitchhiker_s_Guide_to_the_Galaxy,Science Fiction
